designation,longitude,latitude,strength,eta at east limb,days from east limb,Timestamp,URL
FS-2013-022,312.4,26.8,12,2013-08-01.4,5.4,2013-07-27.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.27_00:00:00.txt
FS-2013-020,359.6,-15.2,65,2013-07-28.5,1.5,2013-07-27.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.27_12:00:00.txt
FS-2013-022,312.4,26.8,12,2013-07-31.9,4.9,2013-07-27.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.27_12:00:00.txt
FS-2013-023,332.4,16.4,513,2013-07-30.3,1.3,2013-07-29.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.29_12:00:00.txt
FS-2013-023,332.3,16.5,503,2013-07-30.8,0.8,2013-07-30.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.30_00:00:00.txt
FS-2013-023,331.6,15.4,578,2013-07-30.4,0.4,2013-07-30.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.30_12:00:00.txt
FS-2013-023,327.9,15.6,129,2013-07-31.1,0.1,2013-07-31.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.31_00:00:00.txt
FS-2013-024,160.9,-8.8,670,2013-08-12.3,9.3,2013-08-03.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.08.03_12:00:00.txt
FS-2013-024,160.8,-9.0,737,2013-08-12.9,8.9,2013-08-04.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.08.04_00:00:00.txt
FS-2013-024,160.4,-9.2,875,2013-08-12.4,8.4,2013-08-04.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.08.04_12:00:00.txt
